% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.212	1	9	22	3	39	20	161	1
0.213	1	1	22	4	87	20	161	0
0.213	1	6	22	4	91	20	161	0
0.213	1	2	22	4	50	20	161	1
0.213	1	11	22	4	58	20	161	1
0.214	1	13	22	5	94	20	161	0
0.214	1	3	22	5	96	20	161	0
0.214	1	10	22	5	63	20	161	1
0.214	1	8	22	5	71	20	161	1
0.215	1	14	22	6	1	20	161	0
0.215	1	15	22	6	12	20	161	0
0.215	1	4	22	6	78	20	161	1
0.215	1	12	22	6	82	20	161	1
0.216	1	5	22	7	20	20	161	0
0.216	1	7	22	7	29	20	161	0
0.216	1	1	22	7	87	20	161	1
0.216	1	6	22	7	91	20	161	1
0.217	1	9	22	8	39	20	161	0
0.217	1	2	22	8	50	20	161	0
0.217	1	13	22	8	94	20	161	1
0.217	1	3	22	8	96	20	161	1
0.218	1	11	22	9	58	20	161	0
0.218	1	10	22	9	63	20	161	0
0.218	1	14	22	9	1	20	161	1
0.218	1	15	22	9	12	20	161	1
0.219	1	8	22	10	71	20	161	0
0.219	1	4	22	10	78	20	161	0
0.219	1	5	22	10	20	20	161	1
0.219	1	7	22	10	29	20	161	1
0.22	1	12	23	1	82	20	161	0
0.22	1	1	23	1	87	20	161	0
0.22	1	9	23	1	39	20	161	1
0.22	1	2	23	1	50	20	161	1
0.221	1	6	23	2	91	20	161	0
0.221	1	13	23	2	94	20	161	0
0.221	1	11	23	2	58	20	161	1
0.221	1	10	23	2	63	20	161	1
0.222	1	3	23	3	96	20	161	0
0.222	1	14	23	3	1	20	161	0
0.222	1	8	23	3	71	20	161	1
0.222	1	4	23	3	78	20	161	1
0.223	1	15	23	4	12	20	161	0
0.223	1	5	23	4	20	20	161	0
0.223	1	12	23	4	82	20	161	1
0.223	1	1	23	4	87	20	161	1
0.224	1	7	23	5	29	20	161	0
0.224	1	9	23	5	39	20	161	0
0.224	1	6	23	5	91	20	161	1
0.224	1	13	23	5	94	20	161	1
0.225	1	2	23	6	50	20	161	0
0.225	1	11	23	6	58	20	161	0
0.225	1	3	23	6	96	20	161	1
0.225	1	14	23	6	1	20	161	1
0.226	1	10	23	7	63	20	161	0
0.226	1	8	23	7	71	20	161	0
0.226	1	15	23	7	12	20	161	1
0.226	1	5	23	7	20	20	161	1
0.227	1	4	23	8	78	20	161	0
0.227	1	12	23	8	82	20	161	0
0.227	1	7	23	8	29	20	161	1
0.227	1	9	23	8	39	20	161	1
0.228	1	1	23	9	87	20	161	0
0.228	1	6	23	9	91	20	161	0
0.228	1	2	23	9	50	20	161	1
0.228	1	11	23	9	58	20	161	1
0.229	1	13	23	10	94	20	161	0
0.229	1	3	23	10	96	20	161	0
0.229	1	10	23	10	63	20	161	1
0.229	1	8	23	10	71	20	161	1
0.23	1	14	24	1	1	20	161	0
0.23	1	15	24	1	12	20	161	0
0.23	1	4	24	1	78	20	161	1
0.23	1	12	24	1	82	20	161	1
0.231	1	5	24	2	20	20	161	0
0.231	1	7	24	2	29	20	161	0
0.231	1	1	24	2	87	20	161	1
0.231	1	6	24	2	91	20	161	1
0.232	1	9	24	3	39	20	161	0
0.232	1	2	24	3	50	20	161	0
0.232	1	13	24	3	94	20	161	1
0.232	1	3	24	3	96	20	161	1
0.233	1	11	24	4	58	20	161	0
0.233	1	10	24	4	63	20	161	0
0.233	1	14	24	4	1	20	161	1
0.233	1	15	24	4	12	20	161	1
0.234	1	8	24	5	71	20	161	0
0.234	1	4	24	5	78	20	161	0
0.234	1	5	24	5	20	20	161	1
0.234	1	7	24	5	29	20	161	1
0.235	1	12	24	6	82	20	161	0
0.235	1	1	24	6	87	20	161	0
0.235	1	9	24	6	39	20	161	1
0.235	1	2	24	6	50	20	161	1
0.236	1	6	24	7	91	20	161	0
0.236	1	13	24	7	94	20	161	0
0.236	1	11	24	7	58	20	161	1
0.236	1	10	24	7	63	20	161	1
0.237	1	3	24	8	96	20	161	0
0.237	1	14	24	8	1	20	161	0
0.237	1	8	24	8	71	20	161	1
0.237	1	4	24	8	78	20	161	1
0.238	1	15	24	9	12	20	161	0
0.238	1	5	24	9	20	20	161	0
0.238	1	12	24	9	82	20	161	1
0.238	1	1	24	9	87	20	161	1
0.239	1	7	24	10	29	20	161	0
0.239	1	9	24	10	39	20	161	0
0.239	1	6	24	10	91	20	161	1
0.239	1	13	24	10	94	20	161	1
0.24	1	2	25	1	50	20	161	0
0.24	1	11	25	1	58	20	161	0
0.24	1	3	25	1	96	20	161	1
0.24	1	14	25	1	1	20	161	1
0.241	1	10	25	2	63	20	161	0
0.241	1	8	25	2	71	20	161	0
0.241	1	15	25	2	12	20	161	1
0.241	1	5	25	2	20	20	161	1
0.242	1	4	25	3	78	20	161	0
0.242	1	12	25	3	82	20	161	0
0.242	1	7	25	3	29	20	161	1
0.242	1	9	25	3	39	20	161	1
0.243	1	1	25	4	87	20	161	0
0.243	1	6	25	4	91	20	161	0
0.243	1	2	25	4	50	20	161	1
0.243	1	11	25	4	58	20	161	1
0.244	1	13	25	5	94	20	161	0
0.244	1	3	25	5	96	20	161	0
0.244	1	10	25	5	63	20	161	1
0.244	1	8	25	5	71	20	161	1
0.245	1	14	25	6	1	20	161	0
0.245	1	15	25	6	12	20	161	0
0.245	1	4	25	6	78	20	161	1
0.245	1	12	25	6	82	20	161	1
0.246	1	5	25	7	20	20	161	0
0.246	1	7	25	7	29	20	161	0
0.246	1	1	25	7	87	20	161	1
0.246	1	6	25	7	91	20	161	1
0.247	1	9	25	8	39	20	161	0
0.247	1	2	25	8	50	20	161	0
0.247	1	13	25	8	94	20	161	1
0.247	1	3	25	8	96	20	161	1
0.248	1	11	25	9	58	20	161	0
0.248	1	10	25	9	63	20	161	0
0.248	1	14	25	9	1	20	161	1
0.248	1	15	25	9	12	20	161	1
0.249	1	8	25	10	71	20	161	0
0.249	1	4	25	10	78	20	161	0
0.249	1	5	25	10	20	20	161	1
0.249	1	7	25	10	29	20	161	1
0.25	1	12	26	1	82	20	161	0
0.25	1	1	26	1	87	20	161	0
0.25	1	9	26	1	39	20	161	1
0.25	1	2	26	1	50	20	161	1
0.251	1	6	26	2	91	20	161	0
0.251	1	13	26	2	94	20	161	0
0.251	1	11	26	2	58	20	161	1
0.251	1	10	26	2	63	20	161	1
0.252	1	3	26	3	96	20	161	0
0.252	1	14	26	3	1	20	161	0
0.252	1	8	26	3	71	20	161	1
0.252	1	4	26	3	78	20	161	1
0.253	1	15	26	4	12	20	161	0
0.253	1	5	26	4	20	20	161	0
0.253	1	12	26	4	82	20	161	1
0.253	1	1	26	4	87	20	161	1
0.254	1	7	26	5	29	20	161	0
0.254	1	9	26	5	39	20	161	0
0.254	1	6	26	5	91	20	161	1
0.254	1	13	26	5	94	20	161	1
0.255	1	2	26	6	50	20	161	0
0.255	1	11	26	6	58	20	161	0
0.255	1	3	26	6	96	20	161	1
0.255	1	14	26	6	1	20	161	1
0.256	1	10	26	7	63	20	161	0
0.256	1	8	26	7	71	20	161	0
0.256	1	15	26	7	12	20	161	1
0.256	1	5	26	7	20	20	161	1
0.257	1	4	26	8	78	20	161	0
0.257	1	12	26	8	82	20	161	0
0.257	1	7	26	8	29	20	161	1
0.257	1	9	26	8	39	20	161	1
0.258	1	1	26	9	87	20	161	0
0.258	1	6	26	9	91	20	161	0
0.258	1	2	26	9	50	20	161	1
0.258	1	11	26	9	58	20	161	1
0.259	1	13	26	10	94	20	161	0
0.259	1	3	26	10	96	20	161	0
0.259	1	10	26	10	63	20	161	1
0.259	1	8	26	10	71	20	161	1
0.26	1	14	27	1	1	20	161	0
0.26	1	15	27	1	12	20	161	0
0.26	1	4	27	1	78	20	161	1
0.26	1	12	27	1	82	20	161	1
0.261	1	5	27	2	20	20	161	0
0.261	1	7	27	2	29	20	161	0
0.261	1	1	27	2	87	20	161	1
0.261	1	6	27	2	91	20	161	1
0.262	1	9	27	3	39	20	161	0
0.262	1	2	27	3	50	20	161	0
0.262	1	13	27	3	94	20	161	1
0.262	1	3	27	3	96	20	161	1
0.263	1	11	27	4	58	20	161	0
0.263	1	10	27	4	63	20	161	0
0.263	1	14	27	4	1	20	161	1
0.263	1	15	27	4	12	20	161	1
0.264	1	8	27	5	71	20	161	0
0.264	1	4	27	5	78	20	161	0
0.264	1	5	27	5	20	20	161	1
0.264	1	7	27	5	29	20	161	1
0.265	1	12	27	6	82	20	161	0
0.265	1	1	27	6	87	20	161	0
0.265	1	9	27	6	39	20	161	1
0.265	1	2	27	6	50	20	161	1
0.266	1	6	27	7	91	20	161	0
0.266	1	13	27	7	94	20	161	0
0.266	1	11	27	7	58	20	161	1
0.266	1	10	27	7	63	20	161	1
0.267	1	3	27	8	96	20	161	0
0.267	1	14	27	8	1	20	161	0
0.267	1	8	27	8	71	20	161	1
0.267	1	4	27	8	78	20	161	1
0.268	1	15	27	9	12	20	161	0
0.268	1	5	27	9	20	20	161	0
0.268	1	12	27	9	82	20	161	1
0.268	1	1	27	9	87	20	161	1
0.269	1	7	27	10	29	20	161	0
0.269	1	9	27	10	39	20	161	0
0.269	1	6	27	10	91	20	161	1
0.269	1	13	27	10	94	20	161	1
0.27	1	2	28	1	50	20	161	0
0.27	1	11	28	1	58	20	161	0
0.27	1	3	28	1	96	20	161	1
0.27	1	14	28	1	1	20	161	1
0.271	1	10	28	2	63	20	161	0
0.271	1	8	28	2	71	20	161	0
0.271	1	15	28	2	12	20	161	1
0.271	1	5	28	2	20	20	161	1
0.272	1	4	28	3	78	20	161	0
0.272	1	12	28	3	82	20	161	0
0.272	1	7	28	3	29	20	161	1
0.272	1	9	28	3	39	20	161	1
0.273	1	1	28	4	87	20	161	0
0.273	1	6	28	4	91	20	161	0
0.273	1	2	28	4	50	20	161	1
0.273	1	11	28	4	58	20	161	1
0.274	1	13	28	5	94	20	161	0
0.274	1	3	28	5	96	20	161	0
0.274	1	10	28	5	63	20	161	1
0.274	1	8	28	5	71	20	161	1
0.275	1	14	28	6	1	20	161	0
0.275	1	15	28	6	12	20	161	0
0.275	1	4	28	6	78	20	161	1
0.275	1	12	28	6	82	20	161	1
0.276	1	5	28	7	20	20	161	0
0.276	1	7	28	7	29	20	161	0
0.276	1	1	28	7	87	20	161	1
0.276	1	6	28	7	91	20	161	1
0.277	1	9	28	8	39	20	161	0
0.277	1	2	28	8	50	20	161	0
0.277	1	13	28	8	94	20	161	1
0.277	1	3	28	8	96	20	161	1
0.278	1	11	28	9	58	20	161	0
0.278	1	10	28	9	63	20	161	0
0.278	1	14	28	9	1	20	161	1
0.278	1	15	28	9	12	20	161	1
0.279	1	8	28	10	71	20	161	0
0.279	1	4	28	10	78	20	161	0
0.279	1	5	28	10	20	20	161	1
0.279	1	7	28	10	29	20	161	1
0.28	1	12	29	1	82	20	161	0
0.28	1	1	29	1	87	20	161	0
0.28	1	9	29	1	39	20	161	1
0.28	1	2	29	1	50	20	161	1
0.281	1	6	29	2	91	20	161	0
0.281	1	13	29	2	94	20	161	0
0.281	1	11	29	2	58	20	161	1
0.281	1	10	29	2	63	20	161	1
0.282	1	3	29	3	96	20	161	0
0.282	1	14	29	3	1	20	161	0
0.282	1	8	29	3	71	20	161	1
0.282	1	4	29	3	78	20	161	1
0.283	1	15	29	4	12	20	161	0
0.283	1	5	29	4	20	20	161	0
0.283	1	12	29	4	82	20	161	1
0.283	1	1	29	4	87	20	161	1
0.284	1	7	29	5	29	20	161	0
0.284	1	9	29	5	39	20	161	0
0.284	1	6	29	5	91	20	161	1
0.284	1	13	29	5	94	20	161	1
0.285	1	2	29	6	50	20	161	0
0.285	1	11	29	6	58	20	161	0
0.285	1	3	29	6	96	20	161	1
0.285	1	14	29	6	1	20	161	1
0.286	1	10	29	7	63	20	161	0
0.286	1	8	29	7	71	20	161	0
0.286	1	15	29	7	12	20	161	1
0.286	1	5	29	7	20	20	161	1
0.287	1	4	29	8	78	20	161	0
0.287	1	12	29	8	82	20	161	0
0.287	1	7	29	8	29	20	161	1
0.287	1	9	29	8	39	20	161	1
0.288	1	1	29	9	87	20	161	0
0.288	1	6	29	9	91	20	161	0
0.288	1	2	29	9	50	20	161	1
0.288	1	11	29	9	58	20	161	1
0.289	1	13	29	10	94	20	161	0
0.289	1	3	29	10	96	20	161	0
0.289	1	10	29	10	63	20	161	1
0.289	1	8	29	10	71	20	161	1
0.29	1	14	30	1	1	20	161	0
0.29	1	15	30	1	12	20	161	0
0.29	1	4	30	1	78	20	161	1
0.29	1	12	30	1	82	20	161	1
0.291	1	5	30	2	20	20	161	0
0.291	1	7	30	2	29	20	161	0
0.291	1	1	30	2	87	20	161	1
0.291	1	6	30	2	91	20	161	1
0.292	1	9	30	3	39	20	161	0
0.292	1	2	30	3	50	20	161	0
0.292	1	13	30	3	94	20	161	1
0.292	1	3	30	3	96	20	161	1
0.293	1	11	30	4	58	20	161	0
0.293	1	10	30	4	63	20	161	0
0.293	1	14	30	4	1	20	161	1
0.293	1	15	30	4	12	20	161	1
0.294	1	8	30	5	71	20	161	0
0.294	1	4	30	5	78	20	161	0
0.294	1	5	30	5	20	20	161	1
0.294	1	7	30	5	29	20	161	1
0.295	1	12	30	6	82	20	161	0
0.295	1	1	30	6	87	20	161	0
0.295	1	9	30	6	39	20	161	1
0.295	1	2	30	6	50	20	161	1
0.296	1	6	30	7	91	20	161	0
0.296	1	13	30	7	94	20	161	0
0.296	1	11	30	7	58	20	161	1
0.296	1	10	30	7	63	20	161	1
0.297	1	3	30	8	96	20	161	0
0.297	1	14	30	8	1	20	161	0
0.297	1	8	30	8	71	20	161	1
0.297	1	4	30	8	78	20	161	1
0.298	1	15	30	9	12	20	161	0
0.298	1	5	30	9	20	20	161	0
0.298	1	12	30	9	82	20	161	1
0.298	1	1	30	9	87	20	161	1
0.299	1	7	30	10	29	20	161	0
0.299	1	9	30	10	39	20	161	0
0.299	1	6	30	10	91	20	161	1
0.299	1	13	30	10	94	20	161	1
0.3	1	2	31	1	50	20	161	0
0.3	1	11	31	1	58	20	161	0
0.3	1	3	31	1	96	20	161	1
0.3	1	14	31	1	1	20	161	1
0.301	1	10	31	2	63	20	161	0
0.301	1	8	31	2	71	20	161	0
0.301	1	15	31	2	12	20	161	1
0.301	1	5	31	2	20	20	161	1
0.302	1	4	31	3	78	20	161	0
0.302	1	12	31	3	82	20	161	0
0.302	1	7	31	3	29	20	161	1
0.302	1	9	31	3	39	20	161	1
0.303	1	1	31	4	87	20	161	0
0.303	1	6	31	4	91	20	161	0
0.303	1	2	31	4	50	20	161	1
0.303	1	11	31	4	58	20	161	1
0.304	1	13	31	5	94	20	161	0
0.304	1	3	31	5	96	20	161	0
0.304	1	10	31	5	63	20	161	1
0.304	1	8	31	5	71	20	161	1
0.305	1	14	31	6	1	20	161	0
0.305	1	15	31	6	12	20	161	0
0.305	1	4	31	6	78	20	161	1
0.305	1	12	31	6	82	20	161	1
0.306	1	5	31	7	20	20	161	0
0.306	1	7	31	7	29	20	161	0
0.306	1	1	31	7	87	20	161	1
0.306	1	6	31	7	91	20	161	1
0.307	1	9	31	8	39	20	161	0
0.307	1	2	31	8	50	20	161	0
0.307	1	13	31	8	94	20	161	1
0.307	1	3	31	8	96	20	161	1
0.308	1	11	31	9	58	20	161	0
0.308	1	10	31	9	63	20	161	0
0.308	1	14	31	9	1	20	161	1
0.308	1	15	31	9	12	20	161	1
0.309	1	8	31	10	71	20	161	0
0.309	1	4	31	10	78	20	161	0
0.309	1	5	31	10	20	20	161	1
0.309	1	7	31	10	29	20	161	1
0.31	1	12	32	1	82	20	161	0
0.31	1	1	32	1	87	20	161	0
0.31	1	9	32	1	39	20	161	1
0.31	1	2	32	1	50	20	161	1
0.311	1	6	32	2	91	20	161	0
0.311	1	13	32	2	94	20	161	0
0.311	1	11	32	2	58	20	161	1
0.311	1	10	32	2	63	20	161	1
0.312	1	3	32	3	96	20	161	0
0.312	1	14	32	3	1	20	161	0
0.312	1	8	32	3	71	20	161	1
0.312	1	4	32	3	78	20	161	1
0.313	1	15	32	4	12	20	161	0
0.313	1	5	32	4	20	20	161	0
0.313	1	12	32	4	82	20	161	1
0.313	1	1	32	4	87	20	161	1
0.314	1	7	32	5	29	20	161	0
0.314	1	9	32	5	39	20	161	0
0.314	1	6	32	5	91	20	161	1
0.314	1	13	32	5	94	20	161	1
0.315	1	2	32	6	50	20	161	0
0.315	1	11	32	6	58	20	161	0
0.315	1	3	32	6	96	20	161	1
0.315	1	14	32	6	1	20	161	1
0.316	1	10	32	7	63	20	161	0
0.316	1	8	32	7	71	20	161	0
0.316	1	15	32	7	12	20	161	1
0.316	1	5	32	7	20	20	161	1
0.317	1	4	32	8	78	20	161	0
0.317	1	12	32	8	82	20	161	0
0.317	1	7	32	8	29	20	161	1
0.317	1	9	32	8	39	20	161	1
0.318	1	1	32	9	87	20	161	0
0.318	1	6	32	9	91	20	161	0
0.318	1	2	32	9	50	20	161	1
0.318	1	11	32	9	58	20	161	1
0.319	1	13	32	10	94	20	161	0
0.319	1	3	32	10	96	20	161	0
0.319	1	10	32	10	63	20	161	1
0.319	1	8	32	10	71	20	161	1
0.32	1	14	33	1	1	20	161	0
0.32	1	15	33	1	12	20	161	0
0.32	1	4	33	1	78	20	161	1
0.32	1	12	33	1	82	20	161	1
0.321	1	5	33	2	20	20	161	0
0.321	1	7	33	2	29	20	161	0
0.321	1	1	33	2	87	20	161	1
0.321	1	6	33	2	91	20	161	1
0.322	1	9	33	3	39	20	161	0
0.322	1	2	33	3	50	20	161	0
0.322	1	13	33	3	94	20	161	1
0.322	1	3	33	3	96	20	161	1
0.323	1	11	33	4	58	20	161	0
0.323	1	10	33	4	63	20	161	0
0.323	1	14	33	4	1	20	161	1
0.323	1	15	33	4	12	20	161	1
0.324	1	8	33	5	71	20	161	0
0.324	1	4	33	5	78	20	161	0
0.324	1	5	33	5	20	20	161	1
0.324	1	7	33	5	29	20	161	1
0.325	1	12	33	6	82	20	161	0
0.325	1	1	33	6	87	20	161	0
0.325	1	9	33	6	39	20	161	1
0.325	1	2	33	6	50	20	161	1
0.326	1	6	33	7	91	20	161	0
0.326	1	13	33	7	94	20	161	0
0.326	1	11	33	7	58	20	161	1
0.326	1	10	33	7	63	20	161	1
0.327	1	3	33	8	96	20	161	0
0.327	1	14	33	8	1	20	161	0
0.327	1	8	33	8	71	20	161	1
0.327	1	4	33	8	78	20	161	1
0.328	1	15	33	9	12	20	161	0
0.328	1	5	33	9	20	20	161	0
0.328	1	12	33	9	82	20	161	1
0.328	1	1	33	9	87	20	161	1
0.329	1	7	33	10	29	20	161	0
0.329	1	9	33	10	39	20	161	0
0.329	1	6	33	10	91	20	161	1
0.329	1	13	33	10	94	20	161	1
0.33	1	2	34	1	50	20	161	0
0.33	1	11	34	1	58	20	161	0
0.33	1	3	34	1	96	20	161	1
0.33	1	14	34	1	1	20	161	1
0.331	1	10	34	2	63	20	161	0
0.331	1	8	34	2	71	20	161	0
0.331	1	15	34	2	12	20	161	1
0.331	1	5	34	2	20	20	161	1
0.332	1	4	34	3	78	20	161	0
0.332	1	12	34	3	82	20	161	0
0.332	1	7	34	3	29	20	161	1
0.332	1	9	34	3	39	20	161	1
0.333	1	1	34	4	87	20	161	0
0.333	1	6	34	4	91	20	161	0
0.333	1	2	34	4	50	20	161	1
0.333	1	11	34	4	58	20	161	1
0.334	1	13	34	5	94	20	161	0
0.334	1	3	34	5	96	20	161	0
0.334	1	10	34	5	63	20	161	1
0.334	1	8	34	5	71	20	161	1
0.335	1	14	34	6	1	20	161	0
0.335	1	15	34	6	12	20	161	0
0.335	1	4	34	6	78	20	161	1
0.335	1	12	34	6	82	20	161	1
0.336	1	5	34	7	20	20	161	0
0.336	1	7	34	7	29	20	161	0
0.336	1	1	34	7	87	20	161	1
0.336	1	6	34	7	91	20	161	1
0.337	1	9	34	8	39	20	161	0
0.337	1	2	34	8	50	20	161	0
0.337	1	13	34	8	94	20	161	1
0.337	1	3	34	8	96	20	161	1
0.338	1	11	34	9	58	20	161	0
0.338	1	10	34	9	63	20	161	0
0.338	1	14	34	9	1	20	161	1
0.338	1	15	34	9	12	20	161	1
0.339	1	8	34	10	71	20	161	0
0.339	1	4	34	10	78	20	161	0
0.339	1	5	34	10	20	20	161	1
0.339	1	7	34	10	29	20	161	1
0.34	1	12	35	1	82	20	161	0
0.34	1	1	35	1	87	20	161	0
0.34	1	9	35	1	39	20	161	1
0.34	1	2	35	1	50	20	161	1
0.341	1	6	35	2	91	20	161	0
0.341	1	13	35	2	94	20	161	0
0.341	1	11	35	2	58	20	161	1
0.341	1	10	35	2	63	20	161	1
0.342	1	3	35	3	96	20	161	0
0.342	1	14	35	3	1	20	161	0
0.342	1	8	35	3	71	20	161	1
0.342	1	4	35	3	78	20	161	1
0.343	1	15	35	4	12	20	161	0
0.343	1	5	35	4	20	20	161	0
0.343	1	12	35	4	82	20	161	1
0.343	1	1	35	4	87	20	161	1
0.344	1	7	35	5	29	20	161	0
0.344	1	9	35	5	39	20	161	0
0.344	1	6	35	5	91	20	161	1
0.344	1	13	35	5	94	20	161	1
0.345	1	2	35	6	50	20	161	0
0.345	1	11	35	6	58	20	161	0
0.345	1	3	35	6	96	20	161	1
0.345	1	14	35	6	1	20	161	1
0.346	1	10	35	7	63	20	161	0
0.346	1	8	35	7	71	20	161	0
0.346	1	15	35	7	12	20	161	1
0.346	1	5	35	7	20	20	161	1
0.347	1	4	35	8	78	20	161	0
0.347	1	12	35	8	82	20	161	0
0.347	1	7	35	8	29	20	161	1
0.347	1	9	35	8	39	20	161	1
0.348	1	1	35	9	87	20	161	0
0.348	1	6	35	9	91	20	161	0
0.348	1	2	35	9	50	20	161	1
0.348	1	11	35	9	58	20	161	1
0.349	1	13	35	10	94	20	161	0
0.349	1	3	35	10	96	20	161	0
0.349	1	10	35	10	63	20	161	1
0.349	1	8	35	10	71	20	161	1
0.35	1	14	36	1	1	20	161	0
0.35	1	15	36	1	12	20	161	0
0.35	1	4	36	1	78	20	161	1
0.35	1	12	36	1	82	20	161	1
0.351	1	5	36	2	20	20	161	0
0.351	1	7	36	2	29	20	161	0
0.351	1	1	36	2	87	20	161	1
0.351	1	6	36	2	91	20	161	1
0.352	1	9	36	3	39	20	161	0
0.352	1	2	36	3	50	20	161	0
0.352	1	13	36	3	94	20	161	1
0.352	1	3	36	3	96	20	161	1
0.353	1	11	36	4	58	20	161	0
0.353	1	10	36	4	63	20	161	0
0.353	1	14	36	4	1	20	161	1
0.353	1	15	36	4	12	20	161	1
0.354	1	8	36	5	71	20	161	0
0.354	1	4	36	5	78	20	161	0
0.354	1	5	36	5	20	20	161	1
0.354	1	7	36	5	29	20	161	1
0.355	1	12	36	6	82	20	161	0
0.355	1	1	36	6	87	20	161	0
0.355	1	9	36	6	39	20	161	1
0.355	1	2	36	6	50	20	161	1
0.356	1	6	36	7	91	20	161	0
0.356	1	13	36	7	94	20	161	0
0.356	1	11	36	7	58	20	161	1
0.356	1	10	36	7	63	20	161	1
0.357	1	3	36	8	96	20	161	0
0.357	1	14	36	8	1	20	161	0
0.357	1	8	36	8	71	20	161	1
0.357	1	4	36	8	78	20	161	1
0.358	1	15	36	9	12	20	161	0
0.358	1	5	36	9	20	20	161	0
0.358	1	12	36	9	82	20	161	1
0.358	1	1	36	9	87	20	161	1
0.359	1	7	36	10	29	20	161	0
0.359	1	9	36	10	39	20	161	0
0.359	1	6	36	10	91	20	161	1
0.359	1	13	36	10	94	20	161	1
0.36	1	2	37	1	50	20	161	0
0.36	1	11	37	1	58	20	161	0
0.36	1	3	37	1	96	20	161	1
0.36	1	14	37	1	1	20	161	1
0.361	1	10	37	2	63	20	161	0
0.361	1	8	37	2	71	20	161	0
0.361	1	15	37	2	12	20	161	1
0.361	1	5	37	2	20	20	161	1
0.362	1	4	37	3	78	20	161	0
0.362	1	12	37	3	82	20	161	0
0.362	1	7	37	3	29	20	161	1
0.362	1	9	37	3	39	20	161	1
0.363	1	1	37	4	87	20	161	0
0.363	1	6	37	4	91	20	161	0
0.363	1	2	37	4	50	20	161	1
0.363	1	11	37	4	58	20	161	1
0.364	1	13	37	5	94	20	161	0
0.364	1	3	37	5	96	20	161	0
0.364	1	10	37	5	63	20	161	1
0.364	1	8	37	5	71	20	161	1
0.365	1	14	37	6	1	20	161	0
0.365	1	15	37	6	12	20	161	0
0.365	1	4	37	6	78	20	161	1
0.365	1	12	37	6	82	20	161	1
0.366	1	5	37	7	20	20	161	0
0.366	1	7	37	7	29	20	161	0
0.366	1	1	37	7	87	20	161	1
0.366	1	6	37	7	91	20	161	1
0.367	1	9	37	8	39	20	161	0
0.367	1	2	37	8	50	20	161	0
0.367	1	13	37	8	94	20	161	1
0.367	1	3	37	8	96	20	161	1
0.368	1	11	37	9	58	20	161	0
0.368	1	10	37	9	63	20	161	0
0.368	1	14	37	9	1	20	161	1
0.368	1	15	37	9	12	20	161	1
0.369	1	8	37	10	71	20	161	0
0.369	1	4	37	10	78	20	161	0
0.369	1	5	37	10	20	20	161	1
0.369	1	7	37	10	29	20	161	1
0.37	1	12	38	1	82	20	161	0
0.37	1	1	38	1	87	20	161	0
0.37	1	9	38	1	39	20	161	1
0.37	1	2	38	1	50	20	161	1
0.371	1	6	38	2	91	20	161	0
0.371	1	13	38	2	94	20	161	0
0.371	1	11	38	2	58	20	161	1
0.371	1	10	38	2	63	20	161	1
0.372	1	3	38	3	96	20	161	0
0.372	1	14	38	3	1	20	161	0
0.372	1	8	38	3	71	20	161	1
0.372	1	4	38	3	78	20	161	1
0.373	1	15	38	4	12	20	161	0
0.373	1	5	38	4	20	20	161	0
0.373	1	12	38	4	82	20	161	1
0.373	1	1	38	4	87	20	161	1
0.374	1	7	38	5	29	20	161	0
0.374	1	9	38	5	39	20	161	0
0.374	1	6	38	5	91	20	161	1
0.374	1	13	38	5	94	20	161	1
0.375	1	2	38	6	50	20	161	0
0.375	1	11	38	6	58	20	161	0
0.375	1	3	38	6	96	20	161	1
0.375	1	14	38	6	1	20	161	1
0.376	1	10	38	7	63	20	161	0
0.376	1	8	38	7	71	20	161	0
0.376	1	15	38	7	12	20	161	1
0.376	1	5	38	7	20	20	161	1
0.377	1	4	38	8	78	20	161	0
0.377	1	12	38	8	82	20	161	0
0.377	1	7	38	8	29	20	161	1
0.377	1	9	38	8	39	20	161	1
0.378	1	1	38	9	87	20	161	0
0.378	1	6	38	9	91	20	161	0
0.378	1	2	38	9	50	20	161	1
0.378	1	11	38	9	58	20	161	1
0.379	1	13	38	10	94	20	161	0
0.379	1	3	38	10	96	20	161	0
0.379	1	10	38	10	63	20	161	1
0.379	1	8	38	10	71	20	161	1
0.38	1	14	39	1	1	20	161	0
0.38	1	15	39	1	12	20	161	0
0.38	1	4	39	1	78	20	161	1
0.38	1	12	39	1	82	20	161	1
0.381	1	5	39	2	20	20	161	0
0.381	1	7	39	2	29	20	161	0
0.381	1	1	39	2	87	20	161	1
0.381	1	6	39	2	91	20	161	1
0.382	1	9	39	3	39	20	161	0
0.382	1	2	39	3	50	20	161	0
0.382	1	13	39	3	94	20	161	1
0.382	1	3	39	3	96	20	161	1
0.383	1	11	39	4	58	20	161	0
0.383	1	10	39	4	63	20	161	0
0.383	1	14	39	4	1	20	161	1
0.383	1	15	39	4	12	20	161	1
0.384	1	8	39	5	71	20	161	0
0.384	1	4	39	5	78	20	161	0
0.384	1	5	39	5	20	20	161	1
0.384	1	7	39	5	29	20	161	1
0.385	1	12	39	6	82	20	161	0
0.385	1	1	39	6	87	20	161	0
0.385	1	9	39	6	39	20	161	1
0.385	1	2	39	6	50	20	161	1
0.386	1	6	39	7	91	20	161	0
0.386	1	13	39	7	94	20	161	0
0.386	1	11	39	7	58	20	161	1
0.386	1	10	39	7	63	20	161	1
0.387	1	3	39	8	96	20	161	0
