% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.076	1	15	8	7	12	20	161	1
0.076	1	5	8	7	20	20	161	1
0.077	1	7	8	8	29	20	161	1
0.077	1	9	8	8	39	0	7	1
0.078	1	2	8	9	50	20	161	0
0.078	1	11	8	9	58	20	161	0
0.078	1	2	8	9	50	20	161	1
0.078	1	11	8	9	58	20	161	1
0.079	1	8	8	10	71	0	7	0
0.079	1	10	8	10	63	0	7	1
0.079	1	8	8	10	71	0	7	1
0.08	1	4	9	1	78	0	7	0
0.08	1	14	9	1	1	20	161	0
0.08	1	4	9	1	78	0	7	1
0.08	1	14	9	1	1	20	161	1
0.081	1	15	9	2	12	20	161	0
0.081	1	5	9	2	20	20	161	0
0.081	1	15	9	2	12	20	161	1
0.081	1	5	9	2	20	20	161	1
0.082	1	7	9	3	29	20	161	0
0.082	1	9	9	3	39	20	161	0
0.082	1	7	9	3	29	20	161	1
0.082	1	9	9	3	39	20	161	1
0.083	1	2	9	4	50	20	161	1
0.083	1	11	9	4	58	20	161	1
0.084	1	2	9	5	50	20	161	0
0.084	1	11	9	5	58	20	161	0
0.084	1	10	9	5	63	20	161	1
0.084	1	8	9	5	71	0	7	1
0.085	1	10	9	6	63	20	161	0
0.085	1	4	9	6	78	0	7	1
0.085	1	12	9	6	82	20	161	1
0.086	1	4	9	7	78	0	7	0
0.086	1	12	9	7	82	20	161	0
0.086	1	14	9	7	1	20	161	1
0.086	1	15	9	7	12	20	161	1
0.087	1	14	9	8	1	20	161	0
0.087	1	15	9	8	12	20	161	0
0.087	1	5	9	8	20	20	161	1
0.087	1	7	9	8	29	20	161	1
0.088	1	5	9	9	20	20	161	0
0.088	1	7	9	9	29	20	161	0
0.088	1	9	9	9	39	20	161	1
0.088	1	2	9	9	50	20	161	1
0.089	1	11	9	10	58	20	161	1
0.089	1	10	9	10	63	20	161	1
0.09	1	9	10	1	39	20	161	0
0.09	1	2	10	1	50	20	161	0
0.09	1	8	10	1	71	20	161	1
0.09	1	4	10	1	78	0	7	1
0.091	1	11	10	2	58	20	161	0
0.091	1	10	10	2	63	20	161	0
0.091	1	12	10	2	82	20	161	1
0.091	1	1	10	2	87	20	161	1
0.092	1	8	10	3	71	20	161	0
0.092	1	14	10	3	1	20	161	1
0.092	1	15	10	3	12	20	161	1
0.093	1	12	10	4	82	20	161	0
0.093	1	1	10	4	87	20	161	0
0.093	1	5	10	4	20	20	161	1
0.093	1	7	10	4	29	20	161	1
0.094	1	14	10	5	1	20	161	0
0.094	1	15	10	5	12	20	161	0
0.094	1	9	10	5	39	20	161	1
0.094	1	2	10	5	50	20	161	1
0.095	1	11	10	6	58	20	161	1
0.095	1	10	10	6	63	20	161	1
0.096	1	5	10	7	20	20	161	0
0.096	1	7	10	7	29	20	161	0
0.096	1	8	10	7	71	20	161	1
0.096	1	4	10	7	78	0	7	1
0.097	1	9	10	8	39	20	161	0
0.097	1	2	10	8	50	20	161	0
0.097	1	12	10	8	82	20	161	1
0.097	1	1	10	8	87	20	161	1
0.098	1	11	10	9	58	20	161	0
0.098	1	10	10	9	63	20	161	0
0.098	1	6	10	9	91	20	161	1
0.098	1	14	10	9	1	20	161	1
0.099	1	8	10	10	71	20	161	0
0.099	1	4	10	10	78	20	161	0
0.099	1	15	10	10	12	20	161	1
0.099	1	5	10	10	20	20	161	1
0.1	1	12	11	1	82	20	161	0
0.1	1	1	11	1	87	20	161	0
0.1	1	7	11	1	29	20	161	1
0.1	1	9	11	1	39	20	161	1
0.101	1	2	11	2	50	20	161	1
0.101	1	11	11	2	58	20	161	1
0.102	1	6	11	3	91	20	161	0
0.102	1	14	11	3	1	20	161	0
0.102	1	10	11	3	63	20	161	1
0.102	1	8	11	3	71	20	161	1
0.103	1	15	11	4	12	20	161	0
0.103	1	5	11	4	20	20	161	0
0.103	1	4	11	4	78	20	161	1
0.103	1	12	11	4	82	20	161	1
0.104	1	7	11	5	29	20	161	0
0.104	1	9	11	5	39	20	161	0
0.104	1	1	11	5	87	20	161	1
0.104	1	6	11	5	91	20	161	1
0.105	1	2	11	6	50	20	161	0
0.105	1	11	11	6	58	20	161	0
0.105	1	13	11	6	94	0	7	1
0.105	1	14	11	6	1	20	161	1
0.106	1	10	11	7	63	20	161	0
0.106	1	8	11	7	71	20	161	0
0.106	1	15	11	7	12	20	161	1
0.106	1	5	11	7	20	20	161	1
0.107	1	4	11	8	78	20	161	0
0.107	1	12	11	8	82	20	161	0
0.107	1	7	11	8	29	20	161	1
0.107	1	9	11	8	39	20	161	1
0.108	1	1	11	9	87	20	161	0
0.108	1	6	11	9	91	20	161	0
0.108	1	2	11	9	50	20	161	1
0.108	1	11	11	9	58	20	161	1
0.109	1	13	11	10	94	0	7	0
0.109	1	3	11	10	96	0	7	0
0.109	1	10	11	10	63	20	161	1
0.109	1	8	11	10	71	20	161	1
0.11	1	14	12	1	1	20	161	0
0.11	1	15	12	1	12	20	161	0
0.11	1	4	12	1	78	20	161	1
